Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1740.4500561160019
FDW14,OUT017,2088.996049140726
NCN55,OUT010,757.9030920946007
FDQ58,OUT017,2679.520928465894
FDY38,OUT027,5192.505733347002
FDH56,OUT046,1740.4500561160019
FDL48,OUT018,2191.127194498703
FDC48,OUT027,3931.7640664152914
FDN33,OUT045,2088.996049140726
FDA36,OUT017,2679.520928465894
FDT44,OUT017,2088.996049140726
FDQ56,OUT045,2088.996049140726
NCC54,OUT019,649.9129956959587
FDU11,OUT049,1740.4500561160019
DRL59,OUT013,2375.582718589748
FDM24,OUT049,2237.3309340776354
FDI57,OUT045,2679.520928465894
DRC12,OUT018,2747.137812279751
NCM42,OUT027,3931.7640664152914
FDA46,OUT010,670.1202947777384
FDA31,OUT013,2961.81754427035
NCJ31,OUT035,2680.2338161333955
FDG52,OUT046,1399.5213450943893
NCL19,OUT019,587.7341248749699
FDS10,OUT035,2681.308771975984
FDX22,OUT010,757.9030920946007
NCF19,OUT035,1775.1285102962227
NCE06,OUT046,2234.4781730347104
DRC27,OUT046,2400.7006894382034
FDE21,OUT035,2088.996049140726
NCR42,OUT019,564.1009287350441
FDX51,OUT018,2747.137812279751
NCR06,OUT018,2191.127194498703
FDU31,OUT027,5192.505733347002
FDU59,OUT017,2679.520928465894
FDR03,OUT027,5192.505733347002
FDS49,OUT027,3931.7640664152914
FDD48,OUT010,642.111168608742
NCF18,OUT017,2679.520928465894
NCD43,OUT027,3931.7640664152914
NCD54,OUT018,2747.137812279751
FDY19,OUT010,642.111168608742
NCY54,OUT017,2679.520928465894
NCL19,OUT018,2747.137812279751
FDP23,OUT010,757.9030920946007
FDC26,OUT013,2639.4575476205328
FDR14,OUT010,666.5706329934209
NCS41,OUT035,2681.308771975984
FDF41,OUT035,2680.2338161333955
FDU34,OUT046,1740.4500561160019
DRH11,OUT046,1399.5213450943893
FDM03,OUT013,2639.4575476205328
FDS31,OUT017,2679.520928465894
FDJ20,OUT017,2088.996049140726
FDV44,OUT027,4487.273596887449
FDG02,OUT049,2237.3309340776354
FDA09,OUT013,2961.81754427035
FDT04,OUT013,2375.582718589748
FDL58,OUT019,649.9129956959587
FDE52,OUT045,2088.996049140726
FDW12,OUT035,2681.308771975984
FDL51,OUT017,2680.2338161333955
NCY42,OUT027,4487.273596887449
FDR07,OUT017,2088.996049140726
FDN40,OUT045,2679.520928465894
FDB35,OUT027,3931.7640664152914
FDA22,OUT017,2679.520928465894
NCL06,OUT046,2400.7006894382034
FDI35,OUT013,2961.81754427035
NCW42,OUT045,2680.2338161333955
NCX06,OUT049,2237.3309340776354
FDC37,OUT027,3931.7640664152914
FDZ14,OUT018,2433.3433283630943
DRG49,OUT049,2410.8952110264468
NCG06,OUT045,2680.2338161333955
DRC36,OUT045,2679.520928465894
FDV21,OUT019,545.0128443446342
FDB53,OUT046,2234.4781730347104
DRP47,OUT019,649.9129956959587
FDA14,OUT013,2961.81754427035
DRC24,OUT035,2681.308771975984
FDW21,OUT018,2433.3433283630943
NCH29,OUT046,1740.4500561160019
FDU58,OUT013,2961.81754427035
FDY27,OUT017,2679.520928465894
FDV56,OUT035,2088.996049140726
FDT59,OUT046,2400.7006894382034
FDB23,OUT046,2400.7006894382034
FDR49,OUT045,1775.1285102962227
FDB03,OUT010,757.9030920946007
FDN39,OUT045,2679.520928465894
FDX02,OUT027,5192.505733347002
FDQ16,OUT027,3931.7640664152914
FDU35,OUT018,2433.3433283630943
NCT29,OUT013,2639.4575476205328
FDZ27,OUT046,1399.5213450943893
FDN57,OUT017,2679.520928465894
FDA03,OUT018,2747.137812279751
FDZ36,OUT045,2679.520928465894
NCU05,OUT013,2639.4575476205328
FDT39,OUT018,2747.137812279751
FDK60,OUT017,2088.996049140726
FDZ25,OUT017,2679.520928465894
FDG12,OUT046,1740.4500561160019
DRB01,OUT019,587.7341248749699
NCC43,OUT027,5192.505733347002
FDX13,OUT019,649.9129956959587
FDM22,OUT049,1399.5213450943893
FDJ03,OUT027,3474.480656312158
FDU14,OUT018,3180.1740619589787
FDB33,OUT010,670.1202947777384
FDP27,OUT046,2234.4781730347104
FDO38,OUT010,642.111168608742
FDE28,OUT027,5192.505733347002
FDO27,OUT035,2088.996049140726
DRL23,OUT027,3931.7640664152914
FDS28,OUT046,1399.5213450943893
FDX24,OUT013,2639.4575476205328
FDZ02,OUT035,2088.996049140726
FDL46,OUT045,2088.996049140726
FDS60,OUT027,4487.273596887449
NCO06,OUT017,1775.1285102962227
FDO16,OUT035,2088.996049140726
FDC60,OUT049,1740.4500561160019
FDA48,OUT018,3180.1740619589787
FDZ36,OUT027,4487.273596887449
FDK27,OUT045,2088.996049140726
FDW23,OUT018,2191.127194498703
FDM14,OUT018,2433.3433283630943
FDM14,OUT013,2639.4575476205328
FDW60,OUT018,2747.137812279751
FDE21,OUT013,2639.4575476205328
NCM42,OUT035,2088.996049140726
FDY59,OUT010,642.111168608742
DRI49,OUT049,1740.4500561160019
FDT28,OUT019,587.7341248749699
FDQ22,OUT018,2191.127194498703
FDR60,OUT049,1740.4500561160019
FDC50,OUT019,545.0128443446342
FDV24,OUT013,2961.81754427035
DRF48,OUT010,670.1202947777384
FDQ47,OUT046,1399.5213450943893
DRN36,OUT049,1740.4500561160019
NCY06,OUT035,2088.996049140726
FDE52,OUT035,2088.996049140726
NCB54,OUT045,2088.996049140726
NCF31,OUT035,2681.308771975984
FDJ08,OUT027,4487.273596887449
NCC07,OUT017,2088.996049140726
NCD19,OUT027,3474.480656312158
FDL46,OUT049,1740.4500561160019
FDM20,OUT045,2680.2338161333955
NCI06,OUT010,670.1202947777384
DRM11,OUT035,2680.2338161333955
NCH07,OUT018,2747.137812279751
FDS23,OUT013,2639.4575476205328
FDO49,OUT018,2191.127194498703
FDS35,OUT049,1399.5213450943893
DRK39,OUT045,2088.996049140726
DRI39,OUT049,1399.5213450943893
FDV04,OUT017,2679.520928465894
NCN14,OUT035,2681.308771975984
FDH08,OUT013,3509.121901013104
FDS20,OUT046,2234.4781730347104
FDV40,OUT049,1740.4500561160019
FDZ48,OUT010,642.111168608742
FDS24,OUT027,3931.7640664152914
FDK44,OUT049,2237.3309340776354
FDS48,OUT045,2679.520928465894
FDK26,OUT010,670.1202947777384
FDD23,OUT045,2679.520928465894
NCH54,OUT017,2679.520928465894
NCP14,OUT010,642.111168608742
FDM60,OUT010,666.5706329934209
FDV24,OUT017,2679.520928465894
FDH08,OUT018,3180.1740619589787
FDS12,OUT027,3931.7640664152914
